Algorithm,Size,Duration,Comparisons
1,100000,34.942049,4999950000
2,100000,13.802329,5000963708
3,100000,0.024597,1736370
4,100000,0.018108,2261885
1,150000,89.242724,11249925000
2,150000,29.346696,11251489540
3,150000,0.035059,2692085
4,150000,0.026388,3454700
1,200000,139.486649,19999900000
2,200000,52.912873,20002067508
3,200000,0.046914,3672960
4,200000,0.034501,4682676
1,250000,220.218436,31249875000
2,250000,83.246234,31252632202
3,250000,0.060609,4668187
4,250000,0.044030,6015948
1,300000,310.602142,44999850000
2,300000,118.230713,45003199170
3,300000,0.072392,5684714
4,300000,0.055170,7392925
1,350000,427.348482,61249825000
2,350000,162.562959,61253791482
3,350000,0.085315,6711717
4,350000,0.063514,8989259
1,400000,578.663981,79999800000
2,400000,267.563580,80004381770
3,400000,0.118899,7745118
4,400000,0.084781,9941956
1,450000,830.552666,101249775000
2,450000,321.439831,101254998493
3,450000,0.132439,8788602
4,450000,0.092936,11355753
1,500000,1024.520353,124999750000
2,500000,327.857972,125005599068
3,500000,0.124393,9837129
4,500000,0.093063,12896012
1,550000,1065.527380,151249725000
2,550000,404.090931,151256252935
3,550000,0.137343,10898297
4,550000,0.102905,14271525
1,600000,1244.492364,179999700000
2,600000,464.316649,180006845164
3,600000,0.150296,11969751
4,600000,0.112135,15766750
1,650000,1475.520471,211249675000
2,650000,557.288785,211257470120
3,650000,0.162100,13044165
4,650000,0.121529,17081672
1,700000,1689.033833,244999650000
2,700000,676.877031,245008080559
3,700000,0.185666,14124847
4,700000,0.138027,18227210
1,750000,2071.094696,281249625000
2,750000,738.264800,281258739181
3,750000,0.196699,15205087
4,750000,0.153801,20901769
1,800000,2217.505956,319999600000
2,800000,852.408562,320009337200
3,800000,0.203364,16290662
4,800000,0.154111,21580989
